Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SRAA,TMAXA,TMINA,REFA,EOAA,EOPA,EOSA,ETAA,EPAA,ESAA,EFAA,EMAA,EOAC,ETAC,EPAC,ESAC,EFAC,EMAC,KCAA,KBSA,KEAA,ES1D,ES2D,ES3D,ES4D,ES5D,ES6D,ES7D,TRWUD,TWUPD
1,CRDA1201,RICER048,1,1,2012-06-01,1,21.3,36,24.4,NA,6.753,0,6.753,5.902,0,5.902,0,0,6.75,5.9,0,5.9,0,0,NA,NA,NA,1.742,1.203,0.886,0.616,0.485,0.529,0.441,0,0
2,CRDA1201,RICER048,1,1,2012-06-02,2,21.6,37.1,24.9,NA,7.319,0,7.319,5.845,0,5.845,0,0,14.07,11.75,0,11.75,0,0,NA,NA,NA,1.72,1.191,0.879,0.612,0.482,0.525,0.436,0,0
3,CRDA1201,RICER048,1,1,2012-06-03,3,22.3,38.3,22.7,NA,7.856,0,7.856,1.204,0,1.204,0,0,21.93,12.95,0,12.95,0,0,NA,NA,NA,1.017,0.129,0.033,0.012,0.006,0.005,0.003,0,0
4,CRDA1201,RICER048,1,1,2012-06-04,4,22.1,36.8,23.6,NA,7.235,0,7.235,1.142,0,1.142,0,0,29.16,14.09,0,14.09,0,0,NA,NA,NA,0.956,0.128,0.033,0.012,0.006,0.005,0.003,0,0
5,CRDA1201,RICER048,1,1,2012-06-05,5,21.3,37.7,23.8,NA,7.292,0,7.292,1.099,0,1.099,0,0,36.45,15.19,0,15.19,0,0,NA,NA,NA,0.914,0.127,0.033,0.012,0.006,0.005,0.003,0,0
6,CRDA1201,RICER048,1,1,2012-06-06,6,18.9,36.1,24.5,NA,5.975,0,5.975,1.111,0,1.111,0,0,42.43,16.3,0,16.3,0,0,NA,NA,NA,0.926,0.126,0.033,0.012,0.006,0.005,0.003,0,0
7,CRDA1201,RICER048,1,1,2012-06-07,7,22.6,36.7,25.1,NA,7.423,0,7.423,1.126,0,1.126,0,0,49.85,17.43,0,17.43,0,0,NA,NA,NA,0.942,0.126,0.033,0.012,0.006,0.005,0.003,0,0
8,CRDA1201,RICER048,1,1,2012-06-08,8,19,36.7,25.3,NA,6.242,0,6.242,1.094,0,1.094,0,0,56.09,18.52,0,18.52,0,0,NA,NA,NA,0.911,0.125,0.033,0.012,0.006,0.005,0.003,0,0
9,CRDA1201,RICER048,1,1,2012-06-09,9,19.7,37,24.2,NA,6.513,0,6.513,1.06,0,1.06,0,0,62.61,19.58,0,19.58,0,0,NA,NA,NA,0.878,0.124,0.033,0.012,0.006,0.005,0.003,0,0
10,CRDA1201,RICER048,1,1,2012-06-10,10,19.1,35.9,24.3,NA,5.956,0,5.956,1.084,0,1.084,0,0,68.56,20.67,0,20.67,0,0,NA,NA,NA,0.903,0.123,0.033,0.012,0.006,0.005,0.003,0,0
11,CRDA1201,RICER048,1,1,2012-06-11,11,21.1,37.7,24.3,NA,7.251,0,7.251,1.102,0,1.102,0,0,75.81,21.77,0,21.77,0,0,NA,NA,NA,0.921,0.123,0.033,0.012,0.006,0.005,0.003,0,0
12,CRDA1201,RICER048,1,1,2012-06-12,12,24.1,39.2,23.9,NA,8.874,0,8.874,1.09,0,1.09,0,0,84.69,22.86,0,22.86,0,0,NA,NA,NA,0.91,0.122,0.033,0.012,0.006,0.005,0.003,0,0
13,CRDA1201,RICER048,1,1,2012-06-13,13,21,38.4,24.9,NA,7.493,0,7.493,1.149,0,1.149,0,0,92.18,24.01,0,24.01,0,0,NA,NA,NA,0.969,0.122,0.033,0.012,0.006,0.005,0.003,0,0
14,CRDA1201,RICER048,1,1,2012-06-14,14,19.5,36,25.9,NA,6.225,0,6.225,1.194,0,1.194,0,0,98.41,25.2,0,25.2,0,0,NA,NA,NA,1.013,0.124,0.033,0.012,0.006,0.005,0.003,0,0
15,CRDA1201,RICER048,1,1,2012-06-15,15,24,39,24.6,NA,8.838,0,8.838,1.143,0,1.143,0,0,107.24,26.35,0,26.35,0,0,NA,NA,NA,0.961,0.124,0.033,0.012,0.006,0.005,0.003,0,0
16,CRDA1201,RICER048,1,1,2012-06-16,16,23.8,39.5,23.7,NA,8.884,0,8.884,1.054,0,1.054,0,0,116.13,27.4,0,27.4,0,0,NA,NA,NA,0.873,0.123,0.033,0.012,0.006,0.005,0.003,0,0
17,CRDA1201,RICER048,1,1,2012-06-17,17,21.3,38.5,24.9,NA,7.605,0,7.605,0.983,0,0.983,0,0,123.73,28.38,0,28.38,0,0,NA,NA,NA,0.802,0.123,0.033,0.012,0.006,0.005,0.003,0,0
18,CRDA1201,RICER048,1,1,2012-06-18,18,20.9,37.2,25.7,NA,7.009,0,7.009,0.945,0,0.945,0,0,130.74,29.33,0,29.33,0,0,NA,NA,NA,0.765,0.122,0.032,0.012,0.006,0.005,0.003,0,0
19,CRDA1201,RICER048,1,1,2012-06-19,19,24,38.9,25.1,NA,8.716,0,8.716,0.925,0,0.925,0,0,139.46,30.25,0,30.25,0,0,NA,NA,NA,0.746,0.121,0.032,0.012,0.006,0.005,0.003,0,0
20,CRDA1201,RICER048,1,1,2012-06-20,20,21.8,35.3,26.6,NA,6.638,0,6.638,0.961,0,0.961,0,0,146.1,31.21,0,31.21,0,0,NA,NA,NA,0.783,0.12,0.032,0.012,0.006,0.005,0.003,0,0
21,CRDA1201,RICER048,1,1,2012-06-21,21,18.8,36.6,25.4,NA,6.118,0,6.118,0.975,0,0.975,0,0,152.21,32.19,0,32.19,0,0,NA,NA,NA,0.798,0.12,0.032,0.012,0.006,0.005,0.003,0,0
22,CRDA1201,RICER048,1,1,2012-06-22,22,21.8,38,25.4,NA,7.593,0,7.593,0.934,0,0.934,0,0,159.81,33.12,0,33.12,0,0,NA,NA,NA,0.757,0.119,0.032,0.012,0.006,0.005,0.003,0,0
23,CRDA1201,RICER048,1,1,2012-06-23,23,19.4,34,25.9,NA,5.731,0,5.731,1.01,0,1.01,0,0,165.54,34.13,0,34.13,0,0,NA,NA,NA,0.834,0.118,0.032,0.012,0.006,0.005,0.003,0,0
24,CRDA1201,RICER048,1,1,2012-06-24,24,21.1,30.8,24.1,NA,6.008,0,6.008,6.008,0,6.008,0,0,171.55,40.14,0,40.14,0,0,NA,NA,NA,1.633,1.234,0.961,0.677,0.536,0.535,0.432,0,0
25,CRDA1201,RICER048,1,1,2012-06-25,25,18.9,32.1,23.5,NA,5.545,0,5.545,5.545,0,5.545,0,0,177.09,45.69,0,45.69,0,0,NA,NA,NA,1.536,1.159,0.888,0.622,0.492,0.472,0.375,0,0
26,CRDA1201,RICER048,1,1,2012-06-26,26,21.5,31.4,23.4,NA,6.26,0,6.26,6.26,0,6.26,0,0,183.35,51.95,0,51.95,0,0,NA,NA,NA,1.72,1.296,0.993,0.695,0.55,0.559,0.447,0,0
27,CRDA1201,RICER048,1,1,2012-06-27,27,22.3,32.3,23.1,NA,6.535,0,6.535,6.535,0,6.535,0,0,189.89,58.48,0,58.48,0,0,NA,NA,NA,1.702,1.298,1.017,0.745,0.606,0.638,0.531,0,0
28,CRDA1201,RICER048,1,1,2012-06-28,28,23.1,33.2,22.8,NA,6.731,0,6.731,6.105,0,6.105,0,0,196.62,64.59,0,64.59,0,0,NA,NA,NA,1.532,1.208,0.944,0.697,0.576,0.62,0.529,0,0
29,CRDA1201,RICER048,1,1,2012-06-29,29,19.3,33.7,22.6,NA,5.61,0,5.61,5.61,0,5.61,0,0,202.23,70.2,0,70.2,0,0,NA,NA,NA,1.4,1.12,0.871,0.632,0.521,0.572,0.493,0,0
30,CRDA1201,RICER048,1,1,2012-06-30,30,15.7,29.7,24.2,NA,4.425,0,4.425,4.425,0,4.425,0,0,206.65,74.62,0,74.62,0,0,NA,NA,NA,1.151,0.868,0.688,0.493,0.401,0.443,0.381,0,0
31,CRDA1201,RICER048,1,1,2012-07-01,31,15.4,30.4,24.6,NA,4.395,0,4.395,4.395,0,4.395,0,0,211.05,79.02,0,79.02,0,0,NA,NA,NA,1.293,0.856,0.653,0.463,0.371,0.409,0.35,0,0
32,CRDA1201,RICER048,1,1,2012-07-02,32,17.6,30.3,23.9,NA,5.066,0,5.066,5.066,0,5.066,0,0,216.12,84.08,0,84.08,0,0,NA,NA,NA,1.582,1.007,0.734,0.512,0.406,0.449,0.377,0,0
33,CRDA1201,RICER048,1,1,2012-07-03,33,16.5,29.1,24.4,NA,4.642,0,4.642,4.642,0,4.642,0,0,220.76,88.73,0,88.73,0,0,NA,NA,NA,1.375,0.956,0.683,0.48,0.379,0.417,0.351,0,0
34,CRDA1201,RICER048,1,1,2012-07-04,34,21.1,31,24.3,NA,6.131,0,6.131,5.846,0,5.846,0,0,226.89,94.57,0,94.57,0,0,NA,NA,NA,1.738,1.209,0.862,0.604,0.477,0.518,0.437,0,0
35,CRDA1201,RICER048,1,1,2012-07-05,35,18.3,34,24.6,NA,5.436,0,5.436,1.14,0,1.14,0,0,232.32,95.71,0,95.71,0,0,NA,NA,NA,0.962,0.122,0.031,0.012,0.006,0.004,0.003,0,0
36,CRDA1201,RICER048,1,1,2012-07-06,36,17.7,32.1,24.1,NA,5.136,0,5.136,5.136,0,5.136,0,0,237.46,100.85,0,100.85,0,0,NA,NA,NA,1.399,1.086,0.784,0.553,0.439,0.474,0.401,0,0
37,CRDA1201,RICER048,1,1,2012-07-07,37,18.1,32.3,24.7,NA,5.257,0,5.257,1.011,0,1.011,0,0,242.72,101.86,0,101.86,0,0,NA,NA,NA,0.838,0.118,0.03,0.011,0.006,0.004,0.003,0,0
38,CRDA1201,RICER048,1,1,2012-07-08,38,20.5,32.3,23.7,NA,5.899,0,5.899,0.984,0,0.984,0,0,248.62,102.84,0,102.84,0,0,NA,NA,NA,0.812,0.117,0.03,0.011,0.006,0.004,0.003,0,0
39,CRDA1201,RICER048,1,1,2012-07-09,39,18,32.3,23.8,NA,5.181,0,5.181,1.006,0,1.006,0,0,253.8,103.85,0,103.85,0,0,NA,NA,NA,0.834,0.117,0.03,0.011,0.006,0.004,0.003,0,0
40,CRDA1201,RICER048,1,1,2012-07-10,40,20.6,32.1,24.5,NA,5.962,0,5.962,1.078,0,1.078,0,0,259.76,104.92,0,104.92,0,0,NA,NA,NA,0.906,0.117,0.03,0.011,0.006,0.004,0.003,0,0
41,CRDA1201,RICER048,1,1,2012-07-11,41,18.2,34.1,24.7,NA,5.408,0,5.408,1.133,0,1.133,0,0,265.17,106.06,0,106.06,0,0,NA,NA,NA,0.96,0.119,0.03,0.011,0.006,0.004,0.003,0,0
42,CRDA1201,RICER048,1,1,2012-07-12,42,20.6,34.3,24.7,NA,6.137,0,6.137,1.124,0,1.124,0,0,271.3,107.18,0,107.18,0,0,NA,NA,NA,0.95,0.119,0.03,0.011,0.006,0.004,0.003,0,0
43,CRDA1201,RICER048,1,1,2012-07-13,43,15,30.8,25.1,NA,4.314,0,4.314,1.113,0,1.113,0,0,275.62,108.29,0,108.29,0,0,NA,NA,NA,0.939,0.119,0.03,0.011,0.006,0.004,0.003,0,0
44,CRDA1201,RICER048,1,1,2012-07-14,44,17.1,29.8,24.8,NA,4.861,0,4.861,4.861,0,4.861,0,0,280.48,113.16,0,113.16,0,0,NA,NA,NA,1.455,0.994,0.717,0.499,0.398,0.432,0.366,0,0
45,CRDA1201,RICER048,1,1,2012-07-15,45,16.1,30.8,24.1,NA,4.656,0,4.656,4.656,0,4.656,0,0,285.14,117.81,0,117.81,0,0,NA,NA,NA,1.497,0.984,0.672,0.453,0.354,0.377,0.319,0,0
46,CRDA1201,RICER048,1,1,2012-07-16,46,13.7,28.3,24.2,NA,3.894,0,3.894,3.894,0,3.894,0,0,289.03,121.71,0,121.71,0,0,NA,NA,NA,1.212,0.828,0.581,0.393,0.302,0.317,0.26,0,0
47,CRDA1201,RICER048,1,1,2012-07-17,47,20.7,32,23.4,NA,6.038,0,6.038,6.038,0,6.038,0,0,295.07,127.74,0,127.74,0,0,NA,NA,NA,1.888,1.253,0.895,0.617,0.478,0.503,0.405,0,0
48,CRDA1201,RICER048,1,1,2012-07-18,48,9.8,28.6,24,NA,2.779,0.005,2.773,2.779,0.005,2.773,0,0,297.85,130.52,0.01,130.52,0,0,NA,NA,NA,0.868,0.565,0.408,0.284,0.222,0.235,0.192,0.001,0.262
49,CRDA1201,RICER048,1,1,2012-07-19,49,19.1,33.1,23.4,NA,5.654,0.015,5.638,5.654,0.015,5.638,0,0,303.5,136.18,0.02,136.15,0,0,NA,NA,NA,1.634,1.162,0.853,0.599,0.472,0.503,0.415,0.002,0.262
50,CRDA1201,RICER048,1,1,2012-07-20,50,21.4,32.3,23.9,NA,6.221,0.055,6.199,5.871,0.055,5.816,0,0,309.72,142.05,0.08,141.97,0,0,NA,NA,NA,1.618,1.198,0.89,0.627,0.498,0.537,0.448,0.006,0.261
51,CRDA1201,RICER048,1,1,2012-07-21,51,13.4,31.8,24.1,NA,3.873,0.017,3.856,3.872,0.017,3.856,0,0,313.59,145.92,0.09,145.83,0,0,NA,NA,NA,1.076,0.789,0.59,0.415,0.328,0.358,0.3,0.002,0.261
52,CRDA1201,RICER048,1,1,2012-07-22,52,17.5,32,24.5,NA,5.094,0.027,5.067,5.093,0.027,5.067,0,0,318.69,151.01,0.12,150.89,0,0,NA,NA,NA,1.472,1.032,0.763,0.535,0.42,0.459,0.386,0.003,0.261
