Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,DAP,L_SD,GSTD,LAID,LWAD,SWAD,GWAD,RWAD,EWAD,CWAD,G_AD,GWGD,HIAD,T_AD,WSPD,WSGD,EWSD,NSTD,KSTD,LN_D,SH_D,SLAD,CHTD,CWID,RDPD,RL1D,RL2D,RL3D,RL4D,RL5D,SNW0C,SNW1C,DTTC
1,CRDA1201,RICER048,1,1,2012-07-13,43,0,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,18
2,CRDA1201,RICER048,1,1,2012-07-14,44,1,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,36
3,CRDA1201,RICER048,1,1,2012-07-15,45,2,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,54
4,CRDA1201,RICER048,1,1,2012-07-16,46,3,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,71
5,CRDA1201,RICER048,1,1,2012-07-17,47,4,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,89
6,CRDA1201,RICER048,1,1,2012-07-18,48,5,1,1,0.01,2,1,0,1,0,2,0,0,0,60,0,0,0,0,0,0,0,291.1,0,0,0.1,0.98,0.5,0,0,0,0,0,106
7,CRDA1201,RICER048,1,1,2012-07-19,49,6,1,1,0.01,3,1,0,1,0,4,0,0,0,60,0,0,0,0,0,0,0,246.8,0,0,0.1,0.98,0.5,0,0,0,0,0,124
8,CRDA1201,RICER048,1,1,2012-07-20,50,7,1,1,0.01,4,1,0,1,0,5,0,0,0,60,0,0,0,0,0,0,0,227.2,0,0,0.13,0.98,0.5,0,0,0,0,0,142
9,CRDA1201,RICER048,1,1,2012-07-21,51,8,2,1,0.01,6,1,0,2,0,6,0,0,0,60,0,0,0,0,0,0,0,216,0,0,0.16,0.98,0.5,0,0,0,0,0,160
10,CRDA1201,RICER048,1,1,2012-07-22,52,9,2,1,0.01,7,1,0,2,0,8,0,0,0,60,0,0,0,0,0,0,0,208.7,0,0,0.2,0.97,0.5,0,0,0,0,0,178
11,CRDA1201,RICER048,1,1,2012-07-23,53,10,3,1,0.02,9,1,0,3,0,9,0,0,0,60,0,0,0,0,0,0,0,203.7,0,0,0.23,0.97,0.5,0,0,0,0,0,196
